date,location,temperature_c,humidity_pct,rainfall_mm,co2_ppm,aqi,energy_kwh,water_liters,renewable_pct,extreme_weather_index,risk_level
2020-01-01,Chennai,27.09,73.34,1.16,418.44,73.3,414.98,2613.2,27.65,6.06,Low
2020-01-02,Bengaluru,27.8,77.05,20.24,411.17,60.3,413.23,3061.92,39.38,13.99,Low
2020-01-03,Hyderabad,26.79,71.55,4.87,396.62,69.9,444.36,3067.81,31.48,10.75,Low
2020-01-04,Bengaluru,22.99,72.17,8.63,408.05,63.2,426.61,3093.84,40.26,10.73,Low
2020-01-05,Delhi,31.28,78.89,3.26,413.84,60.8,528.26,3093.06,28.2,11.66,Moderate
2020-01-06,Bengaluru,28.3,76.95,0.43,401.97,55.6,468.76,3247.0,29.81,9.27,Low
2020-01-07,Hyderabad,30.22,60.28,1.0,408.86,74.8,407.67,2985.87,28.51,12.84,Low
2020-01-08,Delhi,30.16,61.49,9.66,411.93,51.2,468.42,2978.54,30.57,12.13,Low
2020-01-09,Hyderabad,26.01,61.22,3.64,410.34,64.1,457.51,2828.27,29.16,11.79,Low
2020-01-10,Hyderabad,30.58,74.94,3.69,411.29,89.0,492.32,2933.35,44.73,11.23,Moderate
2020-01-11,Mumbai,26.0,66.37,4.23,413.98,58.4,391.19,3054.45,34.2,1.2,Low
2020-01-12,Bengaluru,28.83,70.1,2.27,403.17,45.7,348.25,3023.53,33.18,19.5,Low
2020-01-13,Chennai,29.83,67.99,7.97,403.4,56.9,453.51,3319.46,27.02,11.61,Low
2020-01-14,Hyderabad,30.17,70.9,3.4,412.68,84.8,400.73,3216.05,31.05,7.12,Low
2020-01-15,Delhi,26.89,75.04,3.19,406.66,25.0,344.88,2945.45,40.69,4.24,Low
2020-01-16,Hyderabad,29.69,65.93,9.88,409.8,71.6,501.05,3102.19,31.5,14.54,Low
2020-01-17,Delhi,27.43,75.42,5.36,409.73,61.2,441.51,3108.27,36.55,7.19,Low
2020-01-18,Mumbai,27.93,78.41,21.79,412.61,77.6,471.29,3181.71,33.96,19.51,Low
2020-01-19,Chennai,29.25,65.74,9.07,414.01,66.0,475.92,2736.37,32.85,24.25,Low
2020-01-20,Chennai,28.33,68.43,22.45,416.29,79.1,417.43,3037.67,44.09,15.31,Low
2020-01-21,Delhi,27.5,77.99,2.7,419.31,85.7,384.73,3154.94,35.3,19.7,Low
2020-01-22,Delhi,26.38,65.2,5.15,406.01,31.2,399.79,3106.25,35.83,2.17,Low
2020-01-23,Mumbai,26.42,83.78,13.62,417.17,56.3,382.43,2893.71,34.94,11.58,Low
2020-01-24,Chennai,30.32,74.97,4.68,411.46,69.3,454.38,2712.56,33.2,14.52,Low
2020-01-25,Mumbai,27.3,65.59,1.41,407.48,63.2,382.17,3081.29,33.89,0.0,Low
2020-01-26,Hyderabad,28.4,70.04,13.44,413.6,81.3,466.72,3190.93,33.1,14.24,Low
2020-01-27,Bengaluru,29.38,79.24,11.2,416.51,71.7,496.44,3139.28,35.23,12.63,Low
2020-01-28,Bengaluru,29.35,74.38,1.69,411.76,76.2,410.18,3009.37,24.61,9.66,Low
2020-01-29,Chennai,24.43,72.48,8.45,423.03,95.7,333.9,3051.27,40.2,7.42,Low
2020-01-30,Mumbai,30.21,67.77,11.77,404.28,71.2,425.63,3396.67,33.69,10.61,Low
2020-01-31,Bengaluru,28.83,62.52,7.99,408.03,61.3,375.63,3205.55,25.25,11.84,Low
2020-02-01,Delhi,29.15,72.7,2.19,403.5,56.8,416.73,2720.96,34.47,3.2,Low
2020-02-02,Chennai,28.71,60.19,5.19,423.03,100.4,415.75,3036.61,27.9,6.69,Low
2020-02-03,Delhi,26.42,62.03,3.63,413.0,79.4,348.28,2958.8,35.34,18.16,Low
2020-02-04,Chennai,30.8,64.97,8.17,411.2,38.6,420.32,3237.29,41.84,12.25,Low
2020-02-05,Bengaluru,30.79,72.67,28.46,414.96,80.8,486.55,2877.76,33.14,27.31,Moderate
2020-02-06,Chennai,27.74,62.9,9.25,413.81,57.1,444.38,2671.81,40.82,13.42,Low
2020-02-07,Bengaluru,31.48,63.53,4.52,425.35,94.9,482.14,2846.91,41.56,7.95,Moderate
2020-02-08,Bengaluru,28.22,71.72,4.84,412.99,64.7,383.18,3146.9,35.51,9.18,Low
2020-02-09,Chennai,31.65,75.92,9.17,403.24,54.9,431.41,3242.85,40.83,13.71,Low
2020-02-10,Mumbai,30.7,70.03,4.22,424.01,84.7,461.36,2713.58,37.56,3.81,Moderate
2020-02-11,Bengaluru,29.4,64.31,0.49,413.45,54.9,380.06,2770.29,33.35,5.35,Low
2020-02-12,Chennai,29.09,66.65,11.98,419.18,74.7,412.19,3018.5,23.76,6.51,Low
2020-02-13,Mumbai,29.1,62.01,23.0,420.98,67.0,416.05,2990.91,28.75,9.77,Low
2020-02-14,Delhi,27.87,71.49,1.12,416.95,54.4,467.56,2688.77,32.77,11.68,Low
2020-02-15,Chennai,31.34,61.12,0.51,414.97,71.0,437.33,2923.09,48.14,11.96,Moderate
2020-02-16,Mumbai,29.54,80.38,4.57,427.04,55.9,487.25,3305.04,29.81,10.55,Low
2020-02-17,Delhi,28.08,70.54,0.4,408.34,48.9,417.06,2988.46,33.38,6.91,Low
2020-02-18,Hyderabad,26.89,78.63,4.13,415.96,81.8,424.14,2914.68,22.55,8.07,Low
2020-02-19,Chennai,26.51,63.43,3.82,421.48,72.6,432.15,2950.48,29.38,14.13,Low
2020-02-20,Mumbai,27.03,72.74,2.05,415.83,115.2,378.52,3120.95,23.45,6.31,Low
2020-02-21,Chennai,31.69,55.41,19.42,403.64,59.3,488.18,2827.57,32.95,15.67,Moderate
2020-02-22,Mumbai,28.78,72.28,1.78,430.15,41.9,424.69,3056.95,26.0,7.27,Low
2020-02-23,Bengaluru,32.8,58.68,4.85,419.44,67.3,466.08,3196.74,30.74,29.54,Moderate
2020-02-24,Delhi,31.73,73.55,4.86,412.53,67.2,427.03,3272.83,35.45,16.5,Moderate
2020-02-25,Hyderabad,26.34,65.78,4.06,417.87,61.6,364.78,2499.77,36.23,8.64,Low
2020-02-26,Chennai,30.63,69.84,9.98,426.38,71.4,481.89,3270.17,33.61,5.89,Moderate
2020-02-27,Hyderabad,27.55,73.52,10.22,408.04,75.5,407.59,2713.64,25.72,19.04,Low
2020-02-28,Chennai,29.24,81.64,10.39,417.3,76.2,452.19,3384.79,28.38,17.43,Low
2020-02-29,Bengaluru,25.9,74.87,4.82,425.93,37.3,402.09,2549.72,28.99,7.0,Low
2020-03-01,Hyderabad,30.36,63.58,3.09,411.43,78.5,466.57,2967.78,31.36,6.76,Low
2020-03-02,Mumbai,32.0,73.02,7.23,416.83,51.2,440.05,3623.45,29.84,19.02,Moderate
2020-03-03,Chennai,31.66,69.1,5.76,416.9,61.1,505.31,3142.32,30.93,18.13,Moderate
2020-03-04,Hyderabad,29.9,54.65,2.55,413.98,62.0,416.64,2916.44,22.76,12.2,Low
2020-03-05,Mumbai,29.81,74.79,2.74,416.46,54.8,449.76,3135.09,25.5,8.14,Low
2020-03-06,Delhi,30.4,66.85,5.9,415.0,44.6,441.7,2912.53,31.88,11.25,Low
2020-03-07,Mumbai,29.36,67.02,2.93,415.96,79.7,449.08,3256.19,32.6,5.98,Low
2020-03-08,Bengaluru,31.51,59.91,2.69,416.63,29.4,418.18,3186.29,22.04,20.93,Low
2020-03-09,Bengaluru,30.11,73.87,3.56,418.5,78.9,419.24,3338.55,28.92,10.31,Low
2020-03-10,Bengaluru,32.88,70.68,8.1,422.06,97.0,550.47,3087.24,38.27,33.68,Moderate
